Reached Exception after 22489432 millisecondsThe pareto front has 579 solutions : Crit0=344570,Crit1=-387467,Crit2=2347,end
UG_1249=500600, Crit0:20,Crit1:-1458,Crit2:0,end
UG_1250=501, Crit0:46,Crit1:-10201,Crit2:1,end
UG_1251=500600, Crit0:37,Crit1:-518,Crit2:1,end
UG_1252=501, Crit0:745,Crit1:-633,Crit2:6,end
UG_1253=19, Crit0:1760,Crit1:-857,Crit2:9,end
UG_1254=500, Crit0:74,Crit1:-1682,Crit2:1,end
UG_1255=19600, Crit0:35,Crit1:-393,Crit2:2,end
UG_1262=500, Crit0:273,Crit1:-863,Crit2:1,end
UG_1263=2, Crit0:944,Crit1:-1776,Crit2:14,end
UG_1264=2, Crit0:985,Crit1:-1792,Crit2:9,end
UG_1315=34, Crit0:686,Crit1:-1286,Crit2:11,end
UG_1316=500, Crit0:111,Crit1:-900,Crit2:3,end
UG_1317=500, Crit0:176,Crit1:-3792,Crit2:2,end
UG_1345=2600, Crit0:384,Crit1:-1909,Crit2:17,end
UG_1346=1, Crit0:776,Crit1:-10873,Crit2:7,end
UG_1347=2, Crit0:1640,Crit1:-3632,Crit2:15,end
UG_1348=3, Crit0:3567,Crit1:-9688,Crit2:30,end
UG_1349=500600, Crit0:59,Crit1:-1453,Crit2:2,end
UG_1352=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1353=802, Crit0:0,Crit1:0,Crit2:1,end
UG_1354=802, Crit0:0,Crit1:0,Crit2:3,end
UG_1366=800, Crit0:0,Crit1:0,Crit2:0,end
UG_1367=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1368=800, Crit0:0,Crit1:0,Crit2:11,end
UG_1369=800, Crit0:0,Crit1:0,Crit2:10,end
UG_1374=801, Crit0:0,Crit1:0,Crit2:9,end
UG_1375=801, Crit0:0,Crit1:0,Crit2:0,end
UG_1381=501, Crit0:336,Crit1:-11897,Crit2:1,end
UG_1382=800, Crit0:0,Crit1:0,Crit2:1,end
UG_1383=800, Crit0:0,Crit1:0,Crit2:3,end
UG_1392=500, Crit0:232,Crit1:-2887,Crit2:2,end
UG_1394=28601, Crit0:208,Crit1:-2542,Crit2:16,end
Crit0=335942,Crit1=-380177,Crit2=2390,end
UG_728=500, Crit0:100,Crit1:-10632,Crit2:2,end
UG_731=500, Crit0:98,Crit1:-2656,Crit2:2,end
UG_732=36, Crit0:2686,Crit1:-3424,Crit2:17,end
UG_733=500, Crit0:7498,Crit1:-5030,Crit2:20,end
UG_734=501, Crit0:929,Crit1:-3621,Crit2:9,end
UG_735=19, Crit0:5790,Crit1:-9343,Crit2:59,end
UG_736=10, Crit0:2282,Crit1:-14380,Crit2:11,end
UG_737=1600, Crit0:421,Crit1:-739,Crit2:6,end
UG_738=21, Crit0:2109,Crit1:-3031,Crit2:32,end
UG_739=21, Crit0:8952,Crit1:-6055,Crit2:70,end
UG_740=20, Crit0:3033,Crit1:-2953,Crit2:24,end
UG_741=21, Crit0:5227,Crit1:-2749,Crit2:25,end
UG_742=21, Crit0:2460,Crit1:-3035,Crit2:34,end
UG_743=21, Crit0:1190,Crit1:-3038,Crit2:16,end
UG_744=501, Crit0:626,Crit1:-2676,Crit2:4,end
UG_745=25602, Crit0:350,Crit1:-505,Crit2:15,end
UG_746=500, Crit0:80,Crit1:-6363,Crit2:0,end
UG_747=34, Crit0:3021,Crit1:-6963,Crit2:42,end
UG_757=36, Crit0:2543,Crit1:-3964,Crit2:11,end
UG_758=3, Crit0:5334,Crit1:-4034,Crit2:34,end
UG_759=36, Crit0:8549,Crit1:-4021,Crit2:57,end
UG_760=308, Crit0:1662,Crit1:-2195,Crit2:49,end
UG_761=2, Crit0:4892,Crit1:-4147,Crit2:39,end
UG_762=34600, Crit0:607,Crit1:-1302,Crit2:27,end
UG_763=35, Crit0:7953,Crit1:-4638,Crit2:29,end
UG_764=36, Crit0:2367,Crit1:-7242,Crit2:38,end
UG_765=1, Crit0:13995,Crit1:-3590,Crit2:57,end
UG_766=36, Crit0:1395,Crit1:-8184,Crit2:20,end
UG_767=34, Crit0:8975,Crit1:-2525,Crit2:65,end
UG_790=20, Crit0:1864,Crit1:-1249,Crit2:19,end
UG_793=503, Crit0:23,Crit1:-1607,Crit2:1,end
UG_794=500, Crit0:87,Crit1:-1540,Crit2:2,end
UG_795=500, Crit0:156,Crit1:-1465,Crit2:4,end
UG_796=20, Crit0:6804,Crit1:-1488,Crit2:49,end
UG_797=21, Crit0:2871,Crit1:-1552,Crit2:22,end
UG_798=19, Crit0:2893,Crit1:-1557,Crit2:29,end
UG_799=508, Crit0:497,Crit1:-1546,Crit2:4,end
UG_800=35, Crit0:3708,Crit1:-1399,Crit2:22,end
UG_801=19, Crit0:6983,Crit1:-1560,Crit2:63,end
UG_802=20, Crit0:4050,Crit1:-1478,Crit2:32,end
UG_803=36, Crit0:10295,Crit1:-1727,Crit2:52,end
UG_804=21, Crit0:6397,Crit1:-1671,Crit2:57,end
UG_805=500, Crit0:436,Crit1:-1566,Crit2:4,end
UG_807=500, Crit0:803,Crit1:-1562,Crit2:6,end
UG_809=500, Crit0:110,Crit1:-3056,Crit2:2,end
UG_810=500, Crit0:102,Crit1:-1782,Crit2:4,end
UG_811=19, Crit0:8236,Crit1:-2782,Crit2:56,end
UG_812=500, Crit0:614,Crit1:-1729,Crit2:8,end
UG_813=500600, Crit0:40,Crit1:-2383,Crit2:1,end
UG_814=500600, Crit0:23,Crit1:-2453,Crit2:0,end
UG_888=2, Crit0:1614,Crit1:-3734,Crit2:8,end
UG_1069=35, Crit0:8418,Crit1:-7547,Crit2:69,end
UG_1070=35, Crit0:27395,Crit1:-6462,Crit2:95,end
UG_1078=21, Crit0:9653,Crit1:-6547,Crit2:52,end
UG_1079=19, Crit0:17957,Crit1:-4272,Crit2:51,end
UG_1085=3312, Crit0:2609,Crit1:-1154,Crit2:32,end
UG_1086=36, Crit0:6500,Crit1:-2361,Crit2:59,end
UG_1103=1, Crit0:10029,Crit1:-3304,Crit2:67,end
UG_1104=500, Crit0:185,Crit1:-3152,Crit2:2,end
UG_1112=3, Crit0:9182,Crit1:-20453,Crit2:48,end
UG_1127=36, Crit0:3581,Crit1:-4931,Crit2:20,end
UG_1137=2, Crit0:5094,Crit1:-5922,Crit2:35,end
UG_1142=500, Crit0:1196,Crit1:-980,Crit2:7,end
UG_1143=7700, Crit0:542,Crit1:-552,Crit2:24,end
UG_1144=500, Crit0:403,Crit1:-1198,Crit2:2,end
UG_1145=503601, Crit0:5107,Crit1:-2321,Crit2:22,end
UG_1156=34, Crit0:2175,Crit1:-10074,Crit2:28,end
UG_1157=35602, Crit0:268,Crit1:-1776,Crit2:45,end
UG_1179=21, Crit0:6162,Crit1:-2148,Crit2:30,end
UG_1180=20, Crit0:2207,Crit1:-1664,Crit2:20,end
UG_1181=19, Crit0:8104,Crit1:-6027,Crit2:85,end
UG_1182=3, Crit0:9403,Crit1:-2958,Crit2:29,end
UG_1194=36, Crit0:5341,Crit1:-5675,Crit2:18,end
UG_1195=1, Crit0:1121,Crit1:-4481,Crit2:21,end
UG_1199=500, Crit0:967,Crit1:-3695,Crit2:6,end
UG_1200=3, Crit0:11642,Crit1:-8318,Crit2:35,end
UG_1224=30, Crit0:3714,Crit1:-2586,Crit2:29,end
UG_1245=500600, Crit0:51,Crit1:-370,Crit2:3,end
UG_1246=500700, Crit0:54,Crit1:-6832,Crit2:0,end
UG_1247=500600, Crit0:24,Crit1:-6092,Crit2:0,end
UG_1248=500600, Crit0:34,Crit1:-1372,Crit2:1,end
UG_1249=500600, Crit0:20,Crit1:-1458,Crit2:0,end
UG_1250=501, Crit0:46,Crit1:-10201,Crit2:1,end
UG_1251=500600, Crit0:37,Crit1:-518,Crit2:1,end
UG_1252=501, Crit0:745,Crit1:-633,Crit2:6,end
UG_1253=19, Crit0:1760,Crit1:-857,Crit2:9,end
UG_1254=500, Crit0:74,Crit1:-1682,Crit2:1,end
UG_1255=19600, Crit0:35,Crit1:-393,Crit2:2,end
UG_1262=500, Crit0:273,Crit1:-863,Crit2:1,end
UG_1263=2, Crit0:944,Crit1:-1776,Crit2:14,end
UG_1264=2, Crit0:985,Crit1:-1792,Crit2:9,end
UG_1315=34, Crit0:686,Crit1:-1286,Crit2:11,end
UG_1316=500, Crit0:111,Crit1:-900,Crit2:3,end
UG_1317=500, Crit0:176,Crit1:-3792,Crit2:2,end
UG_1345=2600, Crit0:384,Crit1:-1909,Crit2:17,end
UG_1346=1, Crit0:776,Crit1:-10873,Crit2:7,end
UG_1347=2, Crit0:1640,Crit1:-3632,Crit2:15,end
UG_1348=3, Crit0:3567,Crit1:-9688,Crit2:30,end
UG_1349=500600, Crit0:59,Crit1:-1453,Crit2:2,end
UG_1352=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1353=802, Crit0:0,Crit1:0,Crit2:1,end
UG_1354=802, Crit0:0,Crit1:0,Crit2:3,end
UG_1366=800, Crit0:0,Crit1:0,Crit2:0,end
UG_1367=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1368=800, Crit0:0,Crit1:0,Crit2:11,end
UG_1369=800, Crit0:0,Crit1:0,Crit2:10,end
UG_1374=801, Crit0:0,Crit1:0,Crit2:9,end
UG_1375=801, Crit0:0,Crit1:0,Crit2:0,end
UG_1381=501, Crit0:336,Crit1:-11897,Crit2:1,end
UG_1382=800, Crit0:0,Crit1:0,Crit2:1,end
UG_1383=800, Crit0:0,Crit1:0,Crit2:3,end
UG_1392=500, Crit0:232,Crit1:-2887,Crit2:2,end
UG_1394=28601, Crit0:208,Crit1:-2542,Crit2:16,end
Crit0=336390,Crit1=-380227,Crit2=2389,end
UG_728=500, Crit0:100,Crit1:-10632,Crit2:2,end
UG_731=500, Crit0:98,Crit1:-2656,Crit2:2,end
UG_732=36, Crit0:2686,Crit1:-3424,Crit2:17,end
UG_733=500, Crit0:7498,Crit1:-5030,Crit2:20,end
UG_734=501, Crit0:929,Crit1:-3621,Crit2:9,end
UG_735=19, Crit0:5790,Crit1:-9343,Crit2:59,end
UG_736=10, Crit0:2282,Crit1:-14380,Crit2:11,end
UG_737=1600, Crit0:421,Crit1:-739,Crit2:6,end
UG_738=21, Crit0:2109,Crit1:-3031,Crit2:32,end
UG_739=21, Crit0:8952,Crit1:-6055,Crit2:70,end
UG_740=20, Crit0:3033,Crit1:-2953,Crit2:24,end
UG_741=21, Crit0:5227,Crit1:-2749,Crit2:25,end
UG_742=21, Crit0:2460,Crit1:-3035,Crit2:34,end
UG_743=21, Crit0:1190,Crit1:-3038,Crit2:16,end
UG_744=501, Crit0:626,Crit1:-2676,Crit2:4,end
UG_745=25602, Crit0:350,Crit1:-505,Crit2:15,end
UG_746=500, Crit0:80,Crit1:-6363,Crit2:0,end
UG_747=34, Crit0:3021,Crit1:-6963,Crit2:42,end
UG_757=36, Crit0:2543,Crit1:-3964,Crit2:11,end
UG_758=3, Crit0:5334,Crit1:-4034,Crit2:34,end
UG_759=36, Crit0:8549,Crit1:-4021,Crit2:57,end
UG_760=308, Crit0:1662,Crit1:-2195,Crit2:49,end
UG_761=2, Crit0:4892,Crit1:-4147,Crit2:39,end
UG_762=34600, Crit0:607,Crit1:-1302,Crit2:27,end
UG_763=35, Crit0:7953,Crit1:-4638,Crit2:29,end
UG_764=36, Crit0:2367,Crit1:-7242,Crit2:38,end
UG_765=1, Crit0:13995,Crit1:-3590,Crit2:57,end
UG_766=36, Crit0:1395,Crit1:-8184,Crit2:20,end
UG_767=34, Crit0:8975,Crit1:-2525,Crit2:65,end
UG_790=20, Crit0:1864,Crit1:-1249,Crit2:19,end
UG_793=503, Crit0:23,Crit1:-1607,Crit2:1,end
UG_794=500, Crit0:87,Crit1:-1540,Crit2:2,end
UG_795=500, Crit0:156,Crit1:-1465,Crit2:4,end
UG_796=20, Crit0:6804,Crit1:-1488,Crit2:49,end
UG_797=21, Crit0:2871,Crit1:-1552,Crit2:22,end
UG_798=19, Crit0:2893,Crit1:-1557,Crit2:29,end
UG_799=508, Crit0:497,Crit1:-1546,Crit2:4,end
UG_800=35, Crit0:3708,Crit1:-1399,Crit2:22,end
UG_801=19, Crit0:6983,Crit1:-1560,Crit2:63,end
UG_802=20, Crit0:4050,Crit1:-1478,Crit2:32,end
UG_803=36, Crit0:10295,Crit1:-1727,Crit2:52,end
UG_804=21, Crit0:6397,Crit1:-1671,Crit2:57,end
UG_805=500, Crit0:436,Crit1:-1566,Crit2:4,end
UG_807=500, Crit0:803,Crit1:-1562,Crit2:6,end
UG_809=500, Crit0:110,Crit1:-3056,Crit2:2,end
UG_810=500, Crit0:102,Crit1:-1782,Crit2:4,end
UG_811=19, Crit0:8236,Crit1:-2782,Crit2:56,end
UG_812=500, Crit0:614,Crit1:-1729,Crit2:8,end
UG_813=500600, Crit0:40,Crit1:-2383,Crit2:1,end
UG_814=500600, Crit0:23,Crit1:-2453,Crit2:0,end
UG_888=2, Crit0:1614,Crit1:-3734,Crit2:8,end
UG_1069=35, Crit0:8418,Crit1:-7547,Crit2:69,end
UG_1070=35, Crit0:27395,Crit1:-6462,Crit2:95,end
UG_1078=21, Crit0:9653,Crit1:-6547,Crit2:52,end
UG_1079=19, Crit0:17957,Crit1:-4272,Crit2:51,end
UG_1085=3312, Crit0:2609,Crit1:-1154,Crit2:32,end
UG_1086=36, Crit0:6500,Crit1:-2361,Crit2:59,end
UG_1103=1, Crit0:10029,Crit1:-3304,Crit2:67,end
UG_1104=500, Crit0:185,Crit1:-3152,Crit2:2,end
UG_1112=3, Crit0:9182,Crit1:-20453,Crit2:48,end
UG_1127=36, Crit0:3581,Crit1:-4931,Crit2:20,end
UG_1137=2, Crit0:5094,Crit1:-5922,Crit2:35,end
UG_1142=500, Crit0:1196,Crit1:-980,Crit2:7,end
UG_1143=7305, Crit0:990,Crit1:-602,Crit2:23,end
UG_1144=500, Crit0:403,Crit1:-1198,Crit2:2,end
UG_1145=503601, Crit0:5107,Crit1:-2321,Crit2:22,end
UG_1156=34, Crit0:2175,Crit1:-10074,Crit2:28,end
UG_1157=35602, Crit0:268,Crit1:-1776,Crit2:45,end
UG_1179=21, Crit0:6162,Crit1:-2148,Crit2:30,end
UG_1180=20, Crit0:2207,Crit1:-1664,Crit2:20,end
UG_1181=19, Crit0:8104,Crit1:-6027,Crit2:85,end
UG_1182=3, Crit0:9403,Crit1:-2958,Crit2:29,end
UG_1194=36, Crit0:5341,Crit1:-5675,Crit2:18,end
UG_1195=1, Crit0:1121,Crit1:-4481,Crit2:21,end
UG_1199=500, Crit0:967,Crit1:-3695,Crit2:6,end
UG_1200=3, Crit0:11642,Crit1:-8318,Crit2:35,end
UG_1224=30, Crit0:3714,Crit1:-2586,Crit2:29,end
UG_1245=500600, Crit0:51,Crit1:-370,Crit2:3,end
UG_1246=500700, Crit0:54,Crit1:-6832,Crit2:0,end
UG_1247=500600, Crit0:24,Crit1:-6092,Crit2:0,end
UG_1248=500600, Crit0:34,Crit1:-1372,Crit2:1,end
UG_1249=500600, Crit0:20,Crit1:-1458,Crit2:0,end
UG_1250=501, Crit0:46,Crit1:-10201,Crit2:1,end
UG_1251=500600, Crit0:37,Crit1:-518,Crit2:1,end
UG_1252=501, Crit0:745,Crit1:-633,Crit2:6,end
UG_1253=19, Crit0:1760,Crit1:-857,Crit2:9,end
UG_1254=500, Crit0:74,Crit1:-1682,Crit2:1,end
UG_1255=19600, Crit0:35,Crit1:-393,Crit2:2,end
UG_1262=500, Crit0:273,Crit1:-863,Crit2:1,end
UG_1263=2, Crit0:944,Crit1:-1776,Crit2:14,end
UG_1264=2, Crit0:985,Crit1:-1792,Crit2:9,end
UG_1315=34, Crit0:686,Crit1:-1286,Crit2:11,end
UG_1316=500, Crit0:111,Crit1:-900,Crit2:3,end
UG_1317=500, Crit0:176,Crit1:-3792,Crit2:2,end
UG_1345=2600, Crit0:384,Crit1:-1909,Crit2:17,end
UG_1346=1, Crit0:776,Crit1:-10873,Crit2:7,end
UG_1347=2, Crit0:1640,Crit1:-3632,Crit2:15,end
UG_1348=3, Crit0:3567,Crit1:-9688,Crit2:30,end
UG_1349=500600, Crit0:59,Crit1:-1453,Crit2:2,end
UG_1352=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1353=802, Crit0:0,Crit1:0,Crit2:1,end
UG_1354=802, Crit0:0,Crit1:0,Crit2:3,end
UG_1366=800, Crit0:0,Crit1:0,Crit2:0,end
UG_1367=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1368=800, Crit0:0,Crit1:0,Crit2:11,end
UG_1369=800, Crit0:0,Crit1:0,Crit2:10,end
UG_1374=801, Crit0:0,Crit1:0,Crit2:9,end
UG_1375=801, Crit0:0,Crit1:0,Crit2:0,end
UG_1381=501, Crit0:336,Crit1:-11897,Crit2:1,end
UG_1382=800, Crit0:0,Crit1:0,Crit2:1,end
UG_1383=800, Crit0:0,Crit1:0,Crit2:3,end
UG_1392=500, Crit0:232,Crit1:-2887,Crit2:2,end
UG_1394=28601, Crit0:208,Crit1:-2542,Crit2:16,end
Crit0=334510,Crit1=-381274,Crit2=2409,end
UG_728=500, Crit0:100,Crit1:-10632,Crit2:2,end
UG_731=500, Crit0:98,Crit1:-2656,Crit2:2,end
UG_732=36, Crit0:2686,Crit1:-3424,Crit2:17,end
UG_733=500, Crit0:7498,Crit1:-5030,Crit2:20,end
UG_734=501, Crit0:929,Crit1:-3621,Crit2:9,end
UG_735=19, Crit0:5790,Crit1:-9343,Crit2:59,end
UG_736=10, Crit0:2282,Crit1:-14380,Crit2:11,end
UG_737=1600, Crit0:421,Crit1:-739,Crit2:6,end
UG_738=21, Crit0:2109,Crit1:-3031,Crit2:32,end
UG_739=21, Crit0:8952,Crit1:-6055,Crit2:70,end
UG_740=20, Crit0:3033,Crit1:-2953,Crit2:24,end
UG_741=21, Crit0:5227,Crit1:-2749,Crit2:25,end
UG_742=21, Crit0:2460,Crit1:-3035,Crit2:34,end
UG_743=21, Crit0:1190,Crit1:-3038,Crit2:16,end
UG_744=501, Crit0:626,Crit1:-2676,Crit2:4,end
UG_745=500601, Crit0:1063,Crit1:-890,Crit2:25,end
UG_746=500, Crit0:80,Crit1:-6363,Crit2:0,end
UG_747=34, Crit0:3021,Crit1:-6963,Crit2:42,end
UG_757=36, Crit0:2543,Crit1:-3964,Crit2:11,end
UG_758=3, Crit0:5334,Crit1:-4034,Crit2:34,end
UG_759=36, Crit0:8549,Crit1:-4021,Crit2:57,end
UG_760=308, Crit0:1662,Crit1:-2195,Crit2:49,end
UG_761=2, Crit0:4892,Crit1:-4147,Crit2:39,end
UG_762=34600, Crit0:607,Crit1:-1302,Crit2:27,end
UG_763=35, Crit0:7953,Crit1:-4638,Crit2:29,end
UG_764=36, Crit0:2367,Crit1:-7242,Crit2:38,end
UG_765=1, Crit0:13995,Crit1:-3590,Crit2:57,end
UG_766=36, Crit0:1395,Crit1:-8184,Crit2:20,end
UG_767=34, Crit0:8975,Crit1:-2525,Crit2:65,end
UG_790=20, Crit0:1864,Crit1:-1249,Crit2:19,end
UG_793=503, Crit0:23,Crit1:-1607,Crit2:1,end
UG_794=500, Crit0:87,Crit1:-1540,Crit2:2,end
UG_795=500, Crit0:156,Crit1:-1465,Crit2:4,end
UG_796=20, Crit0:6804,Crit1:-1488,Crit2:49,end
UG_797=21, Crit0:2871,Crit1:-1552,Crit2:22,end
UG_798=19, Crit0:2893,Crit1:-1557,Crit2:29,end
UG_799=508, Crit0:497,Crit1:-1546,Crit2:4,end
UG_800=35, Crit0:3708,Crit1:-1399,Crit2:22,end
UG_801=19, Crit0:6983,Crit1:-1560,Crit2:63,end
UG_802=20, Crit0:4050,Crit1:-1478,Crit2:32,end
UG_803=36, Crit0:10295,Crit1:-1727,Crit2:52,end
UG_804=21, Crit0:6397,Crit1:-1671,Crit2:57,end
UG_805=500, Crit0:436,Crit1:-1566,Crit2:4,end
UG_807=500, Crit0:803,Crit1:-1562,Crit2:6,end
UG_809=500, Crit0:110,Crit1:-3056,Crit2:2,end
UG_810=500, Crit0:102,Crit1:-1782,Crit2:4,end
UG_811=19, Crit0:8236,Crit1:-2782,Crit2:56,end
UG_812=500, Crit0:614,Crit1:-1729,Crit2:8,end
UG_813=500600, Crit0:40,Crit1:-2383,Crit2:1,end
UG_814=500600, Crit0:23,Crit1:-2453,Crit2:0,end
UG_888=2, Crit0:1614,Crit1:-3734,Crit2:8,end
UG_1069=35, Crit0:8418,Crit1:-7547,Crit2:69,end
UG_1070=35, Crit0:27395,Crit1:-6462,Crit2:95,end
UG_1078=21, Crit0:9653,Crit1:-6547,Crit2:52,end
UG_1079=19, Crit0:17957,Crit1:-4272,Crit2:51,end
UG_1085=3600, Crit0:934,Crit1:-1021,Crit2:29,end
UG_1086=36, Crit0:6500,Crit1:-2361,Crit2:59,end
UG_1103=1, Crit0:10029,Crit1:-3304,Crit2:67,end
UG_1104=500, Crit0:185,Crit1:-3152,Crit2:2,end
UG_1112=3, Crit0:9182,Crit1:-20453,Crit2:48,end
UG_1127=36, Crit0:3581,Crit1:-4931,Crit2:20,end
UG_1137=2, Crit0:5094,Crit1:-5922,Crit2:35,end
UG_1142=500, Crit0:1196,Crit1:-980,Crit2:7,end
UG_1143=7700, Crit0:542,Crit1:-552,Crit2:24,end
UG_1144=500, Crit0:403,Crit1:-1198,Crit2:2,end
UG_1145=500601, Crit0:3232,Crit1:-2053,Crit2:28,end
UG_1156=34, Crit0:2175,Crit1:-10074,Crit2:28,end
UG_1157=34305, Crit0:1673,Crit1:-2889,Crit2:51,end
UG_1179=21, Crit0:6162,Crit1:-2148,Crit2:30,end
UG_1180=20, Crit0:2207,Crit1:-1664,Crit2:20,end
UG_1181=19, Crit0:8104,Crit1:-6027,Crit2:85,end
UG_1182=3, Crit0:9403,Crit1:-2958,Crit2:29,end
UG_1194=36, Crit0:5341,Crit1:-5675,Crit2:18,end
UG_1195=1, Crit0:1121,Crit1:-4481,Crit2:21,end
UG_1199=500, Crit0:967,Crit1:-3695,Crit2:6,end
UG_1200=3, Crit0:11642,Crit1:-8318,Crit2:35,end
UG_1224=30, Crit0:3714,Crit1:-2586,Crit2:29,end
UG_1245=500600, Crit0:51,Crit1:-370,Crit2:3,end
UG_1246=500700, Crit0:54,Crit1:-6832,Crit2:0,end
UG_1247=500600, Crit0:24,Crit1:-6092,Crit2:0,end
UG_1248=500600, Crit0:34,Crit1:-1372,Crit2:1,end
UG_1249=500600, Crit0:20,Crit1:-1458,Crit2:0,end
UG_1250=501, Crit0:46,Crit1:-10201,Crit2:1,end
UG_1251=500600, Crit0:37,Crit1:-518,Crit2:1,end
UG_1252=501, Crit0:745,Crit1:-633,Crit2:6,end
UG_1253=19, Crit0:1760,Crit1:-857,Crit2:9,end
UG_1254=500, Crit0:74,Crit1:-1682,Crit2:1,end
UG_1255=19600, Crit0:35,Crit1:-393,Crit2:2,end
UG_1262=500, Crit0:273,Crit1:-863,Crit2:1,end
UG_1263=2, Crit0:944,Crit1:-1776,Crit2:14,end
UG_1264=2, Crit0:985,Crit1:-1792,Crit2:9,end
UG_1315=34, Crit0:686,Crit1:-1286,Crit2:11,end
UG_1316=500, Crit0:111,Crit1:-900,Crit2:3,end
UG_1317=500, Crit0:176,Crit1:-3792,Crit2:2,end
UG_1345=2600, Crit0:384,Crit1:-1909,Crit2:17,end
UG_1346=1, Crit0:776,Crit1:-10873,Crit2:7,end
UG_1347=2, Crit0:1640,Crit1:-3632,Crit2:15,end
UG_1348=3, Crit0:3567,Crit1:-9688,Crit2:30,end
UG_1349=500600, Crit0:59,Crit1:-1453,Crit2:2,end
UG_1352=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1353=802, Crit0:0,Crit1:0,Crit2:1,end
UG_1354=802, Crit0:0,Crit1:0,Crit2:3,end
UG_1366=800, Crit0:0,Crit1:0,Crit2:0,end
UG_1367=800, Crit0:0,Crit1:0,Crit2:4,end
UG_1368=800, Crit0:0,Crit1:0,Crit2:11,end
UG_1369=800, Crit0:0,Crit1:0,Crit2:10,end
UG_1374=801, Crit0:0,Crit1:0,Crit2:9,end
UG_1375=801, Crit0:0,Crit1:0,Crit2:0,end
UG_1381=501, Crit0:336,Crit1:-11897,Crit2:1,end
UG_1382=800, Crit0:0,Crit1:0,Crit2:1,end
UG_1383=800, Crit0:0,Crit1:0,Crit2:3,end
UG_1392=500, Crit0:232,Crit1:-2887,Crit2:2,end
UG_1394=28601, Crit0:208,Crit1:-2542,Crit2:16,end
Crit0=334604,Crit1=-381302,Crit2=2409,end
UG_728=500, Crit0:100,Crit1:-10632,Crit2:2,end
UG_731=500, Crit0:98,Crit1:-2656,Crit2:2,end
UG_732=36, Crit0:2686,Crit1:-3424,Crit2:17,end
UG_733=500, Crit0:7498,Crit1:-5030,Crit2:20,end
UG_734=501, Crit0:929,Crit1:-3621,Crit2:9,end
UG_735=19, Crit0:5790,Crit1:-9343,Crit2:59,end
UG_736=10, Crit0:2282,Crit1:-14380,Crit2:11,end
UG_737=1600, Crit0:421,Crit1:-739,Crit2:6,end
UG_738=21, Crit0:2109,Crit1:-3031,Crit2:32,end
UG_739=21, Crit0:8952,Crit1:-6055,Crit2:70,end
UG_740=20, Crit0:3033,Crit1:-2953,Crit2:24,end
UG_741=21, Crit0:5227,Crit1:-2749,Crit2:25,end
UG_742=21, Crit0:2460,Crit1:-3035,Crit2:34,end
UG_743=21, Crit0:1190,Crit1:-3038,Crit2:16,end
UG_744=501, Crit0:626,Crit1:-2676,Crit2:4,end
UG_745=500601, Crit0:1063,Crit1:-890,Crit2:25,end
UG_746=500, Crit0:80,Crit1:-6363,Crit2:0,end
UG_747=34, Crit0:3021,Crit1:-6963,Crit2:42,end
UG_757=36, Crit0:2543,Crit1:-3964,Crit2:11,end
UG_758=3, Crit0:5334,Crit1:-4034,Crit2:34,end
UG_759=36, Crit0:8549,Crit1:-4021,Crit2:57,end
UG_760=308, Crit0:1662,Crit1:-2195,Crit2:49,end
UG_761=2, Crit0:4892,Crit1:-4147,Crit2:39,end
UG_762=34600, Crit0:607,Crit1:-1302,Crit2:27,end
UG_763=35, Crit0:7953,Crit1:-4638,Crit2:29,end
UG_764=36, Crit0:2367,Crit1:-7242,Crit2:38,end
UG_765=1, Crit0:13995,Crit1:-3590,Crit2:57,end
UG_766=36, Crit0:1395,Crit1:-8184,Crit2:20,end
UG_767=34, Crit0:8975,Crit1:-2525,Crit2:65,end
UG_790=20, Crit0:1864,Crit1:-1249,Crit2:19,end
UG_793=503, Crit0:23,Crit1:-1607,Crit2:1,end
UG_794=500, Crit0:87,Crit1:-1540,Crit2:2,end
UG_795=500, Crit0:156,Crit1:-1465,Crit2:4,end
UG_796=20, Crit0:6804,Crit1:-1488,Crit2:49,end
UG_797=21, Crit0:2871,Crit1:-1552,Crit2:22,end
UG_798=19, Crit0:2893,Crit1:-1557,Crit2:29,end
UG_799=508, Crit0:497,Crit1:-1546,Crit2:4,end
UG_800=35, Crit0:3708,Crit1:-1399,Crit2:22,end
UG_801=19, Crit0:6983,Crit1:-1560,Crit2:63,end
UG_802=20, Crit0:4050,Crit1:-1478,Crit2:32,end
UG_803=36, Crit0:10295,Crit1:-1727,Crit2:52,end
UG_804=21, Crit0:6397,Crit1:-1671,Crit2:57,end
UG_805=500, Crit0:436,Crit1:-1566,Crit2:4,end
UG_807=500, Crit0:803,Crit1:-1562,Crit2:6,end
UG_809=500, Crit0:110,Crit1:-3056,Crit2:2,end
UG_810=500, Crit0:102,Crit1:-1782,Crit2:4,end
UG_811=19, Crit0:8236,Crit1:-2782,Crit2:56,end
UG_812=500, Crit0:614,Crit1:-1729,Crit2:8,end
UG_813=500600, Crit0:40,Crit1:-2383,Crit2:1,end
UG_814=500600, Crit0:23,Crit1:-2453,Crit2:0,end
